layer,linear_p,linear_q_bh,linear_r,linear_r2,linear_significant_q05,linear_slope_per_deg,metric,model,spearman_p,spearman_q_bh,spearman_rho,spearman_significant_q05
25,6.837926251173851e-10,6.6729426658343234e-09,-0.6229044140583637,0.38800990905339344,True,-51.41980087678568,signed_rms_delta,PT,1.7573411819305673e-10,1.9916533395213096e-09,-0.6392136702763536,True
26,3.756971821205355e-10,6.6729426658343234e-09,-0.6302110263714388,0.3971659377601423,True,-50.84966675099844,signed_rms_delta,PT,6.881028719166864e-11,1.9916533395213096e-09,-0.6499310252270949,True
27,7.604908521244424e-10,6.6729426658343234e-09,-0.621587288985767,0.3863707578286754,True,-47.66534062283661,signed_rms_delta,PT,1.592163745384727e-10,1.9916533395213096e-09,-0.6403619583067902,True
28,5.074520697198022e-09,1.8593397205166326e-08,-0.5969876825829733,0.3563942931557889,True,-42.55743828111991,signed_rms_delta,PT,4.6187408863170165e-09,1.4276108194070779e-08,-0.5982580638574495,True
29,5.065515339831291e-09,1.8593397205166326e-08,-0.597011710582506,0.3564229825726499,True,-42.33767044657274,signed_rms_delta,PT,4.005106450297024e-09,1.401223656339518e-08,-0.6001718772415103,True
30,4.936953559107247e-09,1.8593397205166326e-08,-0.5973592533904029,0.3568380776111395,True,-42.45741978315424,signed_rms_delta,PT,1.8793719200201147e-09,1.0649774213447318e-08,-0.6101237068386274,True
31,2.658819359305177e-08,4.109084464380728e-08,-0.5736841546642042,0.32911350931278255,True,-28.263789230782823,signed_rms_delta,PT,7.447459750745704e-09,1.582585197033462e-08,-0.5917510983516423,True
32,9.834147540560138e-08,1.0132152011486203e-07,-0.5539061202255021,0.3068119900232684,True,-24.276855635751136,signed_rms_delta,PT,6.661960128768834e-09,1.582585197033462e-08,-0.593282149058891,True
33,0.00029894915082319883,0.00029894915082319883,-0.3940195823098754,0.15525143124364865,True,-16.393501545034322,signed_rms_delta,PT,8.70094326520476e-05,8.70094326520476e-05,-0.4244838085847163,True
0,7.00135580444548e-08,7.213518101549889e-08,0.5591689356814756,0.31266989863115424,True,115.04871287671736,vector_response_norm,IT,2.2823659740885272e-07,2.3515285793639373e-07,0.5404608996588091,True
1,6.386533429112254e-08,6.785691768431769e-08,0.5605771527258963,0.3142467441582728,True,133.94805466272615,vector_response_norm,IT,2.029125109001655e-07,2.1559454283142586e-07,0.5423747130428701,True
2,2.0038006220474228e-08,2.4331864696290135e-08,0.5777954638292855,0.33384759802169917,True,201.7958641503259,vector_response_norm,IT,5.034337519363358e-08,5.521531472850134e-08,0.5641921856211647,True
3,2.3431084747326228e-08,2.655522938030306e-08,0.5755285426994934,0.33123310346180257,True,261.2750612740229,vector_response_norm,IT,3.429922730594133e-08,3.887245761340017e-08,0.5699336257733475,True
4,2.1325620861490105e-08,2.500245204450564e-08,0.5768950244623967,0.3328078692494693,True,555.8359283462568,vector_response_norm,IT,1.7328478776479816e-08,2.1821047348159766e-08,0.5798854553704644,True
5,1.790971829632985e-08,2.3420400849046724e-08,0.5794121137690924,0.33571839758236766,True,799.6378278705657,vector_response_norm,IT,1.0368707509780209e-08,1.3934964667050801e-08,0.587157946229896,True
6,3.655729367635771e-08,4.009509629019878e-08,0.5689872412842989,0.32374648074431694,True,916.4914011304987,vector_response_norm,IT,3.2570356135156476e-08,3.818593477914897e-08,0.5706991511269719,True
7,1.9277961362120538e-08,2.427595134489253e-08,0.578353177060107,0.3344923974155195,True,1124.3039804188131,vector_response_norm,IT,9.550038547047166e-09,1.3529221274983485e-08,0.5883062342603326,True
8,8.203349899281016e-09,1.1621412357314773e-08,0.5904167150463527,0.34859189740612606,True,1205.2525058058507,vector_response_norm,IT,1.0656149451274143e-08,1.3934964667050801e-08,0.5867751835530838,True
9,1.1624257598570918e-08,1.580899033405645e-08,0.5855546865972813,0.3428742909960403,True,1476.8617961222278,vector_response_norm,IT,1.9794884199605702e-08,2.403664509952121e-08,0.5779716419864035,True
10,2.1086891059588373e-09,3.773443663294761e-09,0.6086314005235787,0.37043218170329284,True,1531.931572175969,vector_response_norm,IT,3.782126393087536e-09,5.845104425680738e-09,0.6009374025951347,True
11,1.1622314257990059e-09,2.3244628515980118e-09,0.6162706121481752,0.37978946739748665,True,1784.9948325354123,vector_response_norm,IT,1.6689525688415098e-09,2.9865467021374384e-09,0.6116547575458762,True
12,3.282323007672335e-09,5.0726810118572455e-09,0.6028228859285737,0.36339543179925415,True,1938.4463687867392,vector_response_norm,IT,5.63011652942424e-09,8.322780956540181e-09,0.5955787251197642,True
13,3.719713659955469e-09,5.498707149499389e-09,0.6011593938370167,0.36139261679848933,True,2107.139630684527,vector_response_norm,IT,3.782126393087536e-09,5.845104425680738e-09,0.6009374025951347,True
14,2.5806367904957255e-09,4.178173851278793e-09,0.605994621173247,0.3672294808909071,True,2377.0228268870546,vector_response_norm,IT,2.5966821214731376e-09,4.414359606504334e-09,0.6059133173936931,True
15,2.2953326524669613e-09,3.902065509193834e-09,0.6075270985277161,0.3690891754455053,True,2375.6591718839304,vector_response_norm,IT,1.4374551589998157e-09,2.715193078110763e-09,0.613568570929937,True
16,1.8442988995558505e-09,3.483675699161051e-09,0.6103671553516391,0.37254806433205195,True,2281.833619422045,vector_response_norm,IT,1.0003901371420865e-09,2.000780274284173e-09,0.6181617230516833,True
17,8.971975330286215e-10,1.906544757685821e-09,0.6195268767887514,0.38381355106362475,True,2404.5615879838406,vector_response_norm,IT,4.759461919353867e-10,1.0113856578626967e-09,0.6273480272951757,True
18,4.045615509905143e-10,9.172014946789312e-10,0.6293181874833336,0.3960413810973082,True,2384.3947067079866,vector_response_norm,IT,2.5974861165955863e-10,6.308180568874995e-10,0.6346205181546073,True
19,2.615798229427307e-10,8.085194527320767e-10,0.6345372344441144,0.40263750189598496,True,2367.8111373567417,vector_response_norm,IT,2.208966675268725e-10,6.164939465305243e-10,0.6365343315386682,True
20,1.4064722038428578e-10,5.003610364084423e-10,0.6417978015665664,0.41190441809567774,True,2325.739626866332,vector_response_norm,IT,1.1811349146771258e-10,4.015858709902228e-10,0.6438068223980998,True
21,3.0068710590461733e-10,8.519468000630824e-10,0.632880279631343,0.4005374483462469,True,2327.883629392705,vector_response_norm,IT,3.050933398051474e-10,6.91544903558334e-10,0.6327067047705464,True
22,3.5202203751660097e-10,9.172014946789312e-10,0.6309937869068106,0.39815315911499755,True,2242.452220570478,vector_response_norm,IT,2.357182736734358e-10,6.164939465305243e-10,0.6357688061850438,True
23,9.837983607707734e-11,5.003610364084423e-10,0.6458944695821311,0.41717966583678256,True,2553.352464561776,vector_response_norm,IT,1.4419147478394037e-10,4.456827402412702e-10,0.6415102463372266,True
24,6.832028259094718e-11,5.003610364084423e-10,0.6500111106699448,0.4225144439943752,True,2419.7228109955386,vector_response_norm,IT,8.15737321969826e-11,4.015858709902228e-10,0.6480172118430338,True
25,5.273249493274593e-11,5.003610364084423e-10,0.6528972726999752,0.4262748486990658,True,2343.902634839472,vector_response_norm,IT,3.2076324395050815e-11,3.6353167647724257e-10,0.6583518041169629,True
26,3.478344265134217e-11,5.003610364084423e-10,0.65747035338371,0.4322672655785005,True,2262.992257867512,vector_response_norm,IT,2.1701073830586948e-11,3.6353167647724257e-10,0.662562193561897,True
27,4.044166332918544e-11,5.003610364084423e-10,0.6558228848450608,0.4301036562864979,True,2094.3218802526108,vector_response_norm,IT,2.1701073830586948e-11,3.6353167647724257e-10,0.662562193561897,True
28,1.4716501070836537e-10,5.003610364084423e-10,0.6412741703723254,0.4112325615867142,True,1890.5302321822023,vector_response_norm,IT,9.98942010354784e-11,4.015858709902228e-10,0.6457206357821608,True
29,1.4174516328708956e-10,5.003610364084423e-10,0.6417079873483357,0.41178914102665176,True,1860.1357935187261,vector_response_norm,IT,9.338840975492945e-11,4.015858709902228e-10,0.6464861611357852,True
30,1.199783703043934e-10,5.003610364084423e-10,0.6436271796320314,0.41425594636108326,True,1906.0383136954101,vector_response_norm,IT,1.142321952822329e-10,4.015858709902228e-10,0.644189585074912,True
31,9.712549200056595e-11,5.003610364084423e-10,0.6460404080125722,0.4173682087850508,True,1362.7300198034486,vector_response_norm,IT,7.621742905571733e-11,4.015858709902228e-10,0.6487827371966582,True
32,4.0464771824070494e-10,9.172014946789312e-10,0.6293156145437371,0.39603814270856147,True,1213.2294243665733,vector_response_norm,IT,1.0683298076510958e-10,4.015858709902228e-10,0.6449551104285364,True
